text,duration,question,answer,speech_path,whisper_transcription
and so on till you get to the end when ophelia might say ah yes or something non committal of that sort,6.755,How does Ophelia respond when the succession of events reaches its conclusion?,"Ophelia might say ""Ah yes"" or utter something non-committal of that sort.",LibriSpeech/test-clean/7176/92135/7176-92135-0015.wav,
this would be an easy way of doing it but it would not be the best way for the reason that it is too easy to call attention to itself,7.545,What is the reason why using this specific method is not considered the best way?,The reason why using this specific method is not considered the best way is because it is too easy to call attention to itself.,LibriSpeech/test-clean/7176/92135/7176-92135-0016.wav,
in the old badly made play it was frequently necessary for one of the characters to take the audience into his confidence,7.17,Why was it frequently necessary for one of the characters to take the audience into his confidence in the old badly made play?,It was frequently necessary for one of the characters to take the audience into his confidence in the old badly made play due to the flaws and shortcomings in the play's production.,LibriSpeech/test-clean/7176/92135/7176-92135-0017.wav,
in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural,8.94,How does the protagonist in the modern well constructed play communicate his plans?,He simply rings up an imaginary confederate and tells him what he is going to do.,LibriSpeech/test-clean/7176/92135/7176-92135-0018.wav,
i want double nine hal lo,2.4050000000000002,What does the person want?,"The person wants ""double nine hal lo.""",LibriSpeech/test-clean/7176/92135/7176-92135-0019.wav,
double nine two three elsinore double nine yes hallo is that you horatio hamlet speaking,7.165,Who is speaking on the phone?,Hamlet is speaking on the phone.,LibriSpeech/test-clean/7176/92135/7176-92135-0020.wav,
i say i've been wondering about this business,2.565,What is the speaker curious about?,"The speaker is curious about ""this business.""",LibriSpeech/test-clean/7176/92135/7176-92135-0021.wav,
to be or not to be that is the question whether tis nobler in the mind to suffer the slings and arrows what no hamlet speaking,8.23,What is the question that Hamlet ponders?,"""To be or not to be, that is the question.""",LibriSpeech/test-clean/7176/92135/7176-92135-0022.wav,
you gave me double five i want double nine hallo is that you horatio hamlet speaking,6.215,Who is speaking in the given text?,Horatio Hamlet is speaking.,LibriSpeech/test-clean/7176/92135/7176-92135-0023.wav,
to be or not to be that is the question whether tis nobler,4.1,What is the question being referred to in the given text?,The question being referred to in the given text is whether it is nobler to exist or not to exist.,LibriSpeech/test-clean/7176/92135/7176-92135-0024.wav,
it is to let hamlet if that happen to be the name of your character enter with a small dog pet falcon mongoose tame bear or whatever animal is most in keeping with the part and confide in this animal such sorrows hopes or secret history as the audience has got to know,15.74,Who can Hamlet confide in during the play?,"Hamlet can confide in a small dog, pet falcon, mongoose, tame bear, or any other animal that best suits his character. He can share his sorrows, hopes, or secret history with this animal, as the audience needs to be aware.",LibriSpeech/test-clean/7176/92135/7176-92135-0025.wav,
enter hamlet with his favourite boar hound,2.95,Who enters Hamlet with his favorite boar hound?,Hamlet enters with his favorite boar hound.,LibriSpeech/test-clean/7176/92135/7176-92135-0026.wav,
lady larkspur starts suddenly and turns towards him,2.835,Who does Lady Larkspur react to and what does she do?,Lady Larkspur starts suddenly and turns towards him.,LibriSpeech/test-clean/7176/92135/7176-92135-0027.wav,
larkspur bit me again this morning for the third time,3.345,What happened to the person this morning?,The larkspur bit them again for the third time.,LibriSpeech/test-clean/7176/92135/7176-92135-0028.wav,
i want to get away from it all swoons,2.985,What is the speaker's desire expressed in the text?,"The speaker's desire expressed in the text is to ""get away from it all"".",LibriSpeech/test-clean/7176/92135/7176-92135-0029.wav,
enter lord arthur fluffinose,2.235,Who is Lord Arthur Fluffinose?,Lord Arthur Fluffinose is a character mentioned in the English text.,LibriSpeech/test-clean/7176/92135/7176-92135-0030.wav,
and there you are you will of course appreciate that the unfinished sentences not only save time but also make the manoeuvring very much more natural,9.64,Why do unfinished sentences save time and make manoeuvering more natural?,Unfinished sentences save time and make manoeuvering more natural because they allow for a faster and smoother flow of conversation.,LibriSpeech/test-clean/7176/92135/7176-92135-0031.wav,
how you may be wondering are you to begin your masterpiece,3.315,What might one be wondering when it comes to starting their masterpiece?,How are you to begin your masterpiece?,LibriSpeech/test-clean/7176/92135/7176-92135-0032.wav,
relapses into silence for the rest of the evening,2.23,What does the person do for the rest of the evening?,The person relapsed into silence for the rest of the evening.,LibriSpeech/test-clean/7176/92135/7176-92135-0033.wav,
the duchess of southbridge to lord reggie oh reggie what did you say,4.465,Who is addressing Lord Reggie and what do they want to know?,The Duchess of Southbridge is addressing Lord Reggie. She wants to know what he said.,LibriSpeech/test-clean/7176/92135/7176-92135-0034.wav,
then lord tuppeny well what about auction,3.38,What is being discussed in regards to Lord Tuppeny?,The conversation is focused on an auction.,LibriSpeech/test-clean/7176/92135/7176-92135-0035.wav,
the crowd drifts off leaving the hero and heroine alone in the middle of the stage and then you can begin,6.47,Who remains on the stage after the crowd drifts off?,The hero and heroine.,LibriSpeech/test-clean/7176/92135/7176-92135-0036.wav,
then is the time to introduce a meal on the stage,2.86,When should a meal be introduced on the stage?,"The time to introduce a meal on the stage is ""then.""",LibriSpeech/test-clean/7176/92135/7176-92135-0037.wav,
a stage meal is popular because it proves to the audience that the actors even when called charles hawtrey or owen nares are real people just like you and me,9.205,Why is a stage meal popular among the audience?,"A stage meal is popular because it demonstrates to the audience that the actors, such as Charles Hawtrey or Owen Nares, are real people just like you and me.",LibriSpeech/test-clean/7176/92135/7176-92135-0038.wav,
tea please matthews butler impassively,3.125,What did Matthews ask for?,Tea.,LibriSpeech/test-clean/7176/92135/7176-92135-0039.wav,
hostess replaces lump and inclines empty teapot over tray for a moment then hands him a cup painted brown inside thus deceiving the gentleman with the telescope in the upper circle,10.345,What deception did the hostess employ while serving tea to a gentleman in the upper circle?,"The hostess replaced the lump and inclined the empty teapot over the tray briefly, then handed him a cup that was painted brown inside, in order to deceive the gentleman with the telescope in the upper circle.",LibriSpeech/test-clean/7176/92135/7176-92135-0040.wav,
re enter butler and three footmen who remove the tea things hostess to guest,4.94,"Who re-enters and removes the tea things, from the hostess to the guest?",The butler and three footmen re-enter and remove the tea things from the hostess to the guest.,LibriSpeech/test-clean/7176/92135/7176-92135-0041.wav,
in novels the hero has often pushed his meals away untasted but no stage hero would do anything so unnatural as this,7.27,What is the difference between the portrayal of heroes in novels and on stage?,"In novels, it is common for the hero to leave his meals untouched, but on stage, a hero would never do something as unnatural as this.",LibriSpeech/test-clean/7176/92135/7176-92135-0042.wav,
two bites are made and the bread is crumbled with an air of great eagerness indeed one feels that in real life the guest would clutch hold of the footman and say half a mo old chap i haven't nearly finished but the actor is better schooled than this,13.28,How does the text suggest that the actor is more skilled than what is being portrayed?,"The text implies that the actor's performance is better schooled because, despite the character's eagerness, they refrain from clutching the footman and asking for more time.",LibriSpeech/test-clean/7176/92135/7176-92135-0043.wav,
but it is the cigarette which chiefly has brought the modern drama to its present state of perfection,5.175,What has been the major contributor to the current state of perfection in modern drama?,The cigarette.,LibriSpeech/test-clean/7176/92135/7176-92135-0044.wav,
lord john taking out gold cigarette case from his left hand upper waistcoat pocket,5.23,What did Lord John retrieve from his left hand upper waistcoat pocket?,Lord John took out a gold cigarette case.,LibriSpeech/test-clean/7176/92135/7176-92135-0045.wav,
all about him was a tumult of bright and broken color scattered in broad splashes,5.695,What was the overall appearance of him described as?,All about him was a tumult of bright and broken color scattered in broad splashes.,LibriSpeech/test-clean/7176/88083/7176-88083-0000.wav,
the merganser had a crested head of iridescent green black a broad collar of lustrous white black back black and white wings white belly sides finely pencilled in black and white and a breast of rich chestnut red streaked with black,16.575,What are the physical characteristics of the merganser?,"The merganser has a crested head of iridescent green-black, a broad collar of lustrous white-black, a black back and white wings, a white belly, sides finely pencilled in black and white, and a breast of rich chestnut red streaked with black.",LibriSpeech/test-clean/7176/88083/7176-88083-0001.wav,
his feet were red his long narrow beak with its saw toothed edges and sharp hooked tip was bright red,7.51,What were the notable features of the bird's appearance?,"The bird's feet were red and its long narrow beak had saw-toothed edges and a sharp hooked tip, both also red.",LibriSpeech/test-clean/7176/88083/7176-88083-0002.wav,
but here he was at a terrible disadvantage as compared with the owls hawks and eagles he had no rending claws,7.6,"How was the protagonist at a disadvantage compared to owls, hawks, and eagles?","The protagonist was at a terrible disadvantage because he lacked rending claws like owls, hawks, and eagles.",LibriSpeech/test-clean/7176/88083/7176-88083-0003.wav,
but suddenly straight and swift as a diving cormorant he shot down into the torrent and disappeared beneath the surface,7.5,What animal is being compared to the suddenness of the subject's action?,The animal being compared is a diving cormorant.,LibriSpeech/test-clean/7176/88083/7176-88083-0004.wav,
once fairly a wing however he wheeled and made back hurriedly for his perch,4.7,What did the subject do after initially flying away from its perch?,The subject quickly turned around and flew back to its perch.,LibriSpeech/test-clean/7176/88083/7176-88083-0005.wav,
it might have seemed that a trout of this size was a fairly substantial meal,4.295,What is the significance of the size of the trout in relation to a meal?,The size of the trout suggests that it would be a considerably large and fulfilling meal.,LibriSpeech/test-clean/7176/88083/7176-88083-0006.wav,
but such was his keenness that even while the wide flukes of his engorged victim were still sticking out at the corners of his beak his fierce red eyes were once more peering downward into the torrent in search of fresh prey,14.3,What is the character's primary focus even though he has just caught a large prey?,"What is the character searching for in the torrent, despite having already caught a large victim whose flukes are still visible?",LibriSpeech/test-clean/7176/88083/7176-88083-0007.wav,
in despair he hurled himself downward too soon,3.2800000000000002,What did the person in despair do?,The person in despair hurled himself downward too soon.,LibriSpeech/test-clean/7176/88083/7176-88083-0008.wav,
the great hawk followed hurriedly to retrieve his prey from the ground,4.045,Who followed hurriedly to retrieve his prey from the ground?,The great hawk.,LibriSpeech/test-clean/7176/88083/7176-88083-0009.wav,
the cat growled softly picked up the prize in her jaws and trotted into the bushes to devour it,6.74,What did the cat do after growling softly?,The cat picked up the prize in her jaws and trotted into the bushes to devour it.,LibriSpeech/test-clean/7176/88083/7176-88083-0010.wav,
in fact he had just finished it the last of the trout's tail had just vanished with a spasm down his strained gullet when the baffled hawk caught sight of him and swooped,10.06,What happened just as the hawk caught sight of the individual?,The last part of the trout's tail had disappeared down his throat.,LibriSpeech/test-clean/7176/88083/7176-88083-0011.wav,
the hawk alighted on the dead branch and sat upright motionless as if surprised,5.045,What did the hawk do upon reaching the dead branch?,The hawk alighted on the dead branch and sat upright motionless as if surprised.,LibriSpeech/test-clean/7176/88083/7176-88083-0012.wav,
like his unfortunate little cousin the teal he too had felt the fear of death smitten into his heart and was heading desperately for the refuge of some dark overhanging bank deep fringed with weeds where the dreadful eye of the hawk should not discern him,15.0,What was the protagonist feeling and where was he trying to hide?,"Like his little cousin, the teal, the protagonist also experienced the fear of death and was desperately making his way towards the shelter of a dark overhanging bank, bordered with weeds, to avoid being seen by the hawk.",LibriSpeech/test-clean/7176/88083/7176-88083-0013.wav,
the hawk sat upon the branch and watched his quarry swimming beneath the surface,4.67,What was the hawk doing while sitting on the branch?,The hawk sat upon the branch and watched his quarry swimming beneath the surface.,LibriSpeech/test-clean/7176/88083/7176-88083-0014.wav,
almost instantly he was forced to the top,2.335,How quickly did he reach the top?,Almost instantly.,LibriSpeech/test-clean/7176/88083/7176-88083-0015.wav,
straightway the hawk glided from his perch and darted after him,3.92,What did the hawk do immediately after leaving its perch?,The hawk glided straightway from its perch and darted after him.,LibriSpeech/test-clean/7176/88083/7176-88083-0016.wav,
but at this point in the rapids it was impossible for him to stay down,3.66,Was it possible for him to stay underwater at this point in the rapids?,"No, it was impossible for him to stay down at this point in the rapids.",LibriSpeech/test-clean/7176/88083/7176-88083-0017.wav,
but this frequenter of the heights of air for all his savage valor was troubled at the leaping waves and the tossing foam of these mad rapids he did not understand them,10.45,How did the character feel about encountering the waves and foam of the rapids?,"The character, despite their brave nature, was unsettled and confused by the leaping waves and tossing foam of the mad rapids.",LibriSpeech/test-clean/7176/88083/7176-88083-0018.wav,
as he flew his down reaching clutching talons were not half a yard above the fugitive's head,5.8100000000000005,How close were the talons of the flying creature to the escaping person's head?,The talons of the flying creature were not half a yard (roughly 18 inches or 45.72 centimeters) above the fugitive's head.,LibriSpeech/test-clean/7176/88083/7176-88083-0019.wav,
where the waves for an instant sank they came closer but not quite within grasping reach,5.415,Did the waves come close enough to be grasped?,"No, the waves came closer but not quite within grasping reach.",LibriSpeech/test-clean/7176/88083/7176-88083-0020.wav,
but as before the leaping waves of the rapids were too much for his pursuer and he was able to flap his way onward in a cloud of foam while doom hung low above his head yet hesitated to strike,12.605,What effect did the leaping waves of the rapids have on the pursuer?,"The leaping waves of the rapids were too much for the pursuer, preventing them from catching up to the protagonist.",LibriSpeech/test-clean/7176/88083/7176-88083-0021.wav,
the hawk embittered by the loss of his first quarry had become as dogged in pursuit as a weasel not to be shaken off or evaded or deceived,9.485,How does the hawk behave after losing its first prey?,"The hawk becomes relentless in chasing its targets, displaying the same determination as a weasel, making it impossible to shake off, evade, or deceive.",LibriSpeech/test-clean/7176/88083/7176-88083-0022.wav,
he had a lot of line out and the place was none too free for a long cast but he was impatient to drop his flies again on the spot where the big fish was feeding,9.645,What was the angler's situation like while fishing?,"He had a lot of line out and the place was crowded, making it challenging for him to make a long cast. However, he was eager to cast his flies once more in the same spot where the big fish was eating.",LibriSpeech/test-clean/7176/88083/7176-88083-0023.wav,
the last drop fly as luck would have it caught just in the corner of the hawk's angrily open beak hooking itself firmly,8.195,What happened to the last drop of liquid in the sentence?,"The last drop flew and, luck would have it, got caught in the corner of the hawk's angrily open beak, firmly hooking itself.",LibriSpeech/test-clean/7176/88083/7176-88083-0024.wav,
at the sudden sharp sting of it the great bird turned his head and noticed for the first time the fisherman standing on the bank,7.38,Who or what did the great bird notice for the first time?,The great bird noticed the fisherman standing on the bank for the first time.,LibriSpeech/test-clean/7176/88083/7176-88083-0025.wav,
the drag upon his beak and the light check upon his wings were inexplicable to him and appalling,5.53,What were the sensations experienced by the bird in the text?,The bird found the drag on its beak and the light resistance on its wings inexplicable and appalling.,LibriSpeech/test-clean/7176/88083/7176-88083-0026.wav,
then the leader parted from the line,2.13,What did the leader do after that?,The leader parted from the line.,LibriSpeech/test-clean/7176/88083/7176-88083-0027.wav,
also a popular contrivance whereby love making may be suspended but not stopped during the picnic season,8.46,What is a popular contrivance used during the picnic season?,A contrivance that allows love making to be suspended but not stopped.,LibriSpeech/test-clean/121/121726/121-121726-0000.wav,
harangue the tiresome product of a tireless tongue,5.925,How would you describe the speaker?,"The speaker is described as someone who talks incessantly, using a tiresome and relentless manner.",LibriSpeech/test-clean/121/121726/121-121726-0001.wav,
angor pain painful to hear,4.41,What reaction does the English text suggest about the sensation of angor pain?,The English text suggests that angor pain is painful to hear.,LibriSpeech/test-clean/121/121726/121-121726-0002.wav,
hay fever a heart trouble caused by falling in love with a grass widow,6.755,What is hay fever and what causes it?,Hay fever is a heart trouble caused by falling in love with a grass widow.,LibriSpeech/test-clean/121/121726/121-121726-0003.wav,
heaven a good place to be raised to,4.02,Is heaven considered a favorable place to be born and raised?,"Yes, heaven is often regarded as a good place to be raised to.",LibriSpeech/test-clean/121/121726/121-121726-0004.wav,
hedge a fence,3.1,How can you protect a yard or property?,You can hedge a fence.,LibriSpeech/test-clean/121/121726/121-121726-0005.wav,
heredity the cause of all our faults,3.895,What is suggested about the reasons behind all our flaws?,The text suggests that heredity is the cause of all our faults.,LibriSpeech/test-clean/121/121726/121-121726-0006.wav,
horse sense a degree of wisdom that keeps one from betting on the races,6.73,"What does the phrase ""horse sense"" refer to?",Horse sense refers to a certain level of wisdom that prevents someone from gambling or making bets on horse races.,LibriSpeech/test-clean/121/121726/121-121726-0007.wav,
hose man's excuse for wetting the walk,4.99,What is the reason given by the man for wetting the walk?,The man's excuse for wetting the walk.,LibriSpeech/test-clean/121/121726/121-121726-0008.wav,
hotel a place where a guest often gives up good dollars for poor quarters,7.26,How would you describe the tradeoff a guest typically experiences when staying at a hotel?,"When staying at a hotel, guests often find themselves spending a significant amount of money while receiving subpar accommodations in return.",LibriSpeech/test-clean/121/121726/121-121726-0009.wav,
housecleaning a domestic upheaval that makes it easy for the government to enlist all the soldiers it needs,9.81,"What does the phrase ""housecleaning a domestic upheaval"" refer to?","It refers to a situation where the government resolves internal conflicts or disturbances within the country, which enables them to easily recruit sufficient numbers of soldiers for their needs.",LibriSpeech/test-clean/121/121726/121-121726-0010.wav,
husband the next thing to a wife,4.035,Who is considered to be the next important person in relation to a wife?,A husband is considered to be the next important person in relation to a wife.,LibriSpeech/test-clean/121/121726/121-121726-0011.wav,
hussy woman and bond tie,4.045,"Who or what is being described as a ""hussy woman and bond tie"" in the English text?","The subject or subjects being described as a ""hussy woman and bond tie"" are unknown, as no context is provided.",LibriSpeech/test-clean/121/121726/121-121726-0012.wav,
tied to a woman,2.49,Who or what is tied to a woman?,It is unclear who or what is tied to a woman based solely on the given information.,LibriSpeech/test-clean/121/121726/121-121726-0013.wav,
hypocrite a horse dealer,3.165,What is the definition of hypocrite?,A hypocrite is a horse dealer.,LibriSpeech/test-clean/121/121726/121-121726-0014.wav,
you are my all the world and i must strive to know my shames and praises from your tongue none else to me nor i to none alive that my steel'd sense or changes right or wrong,17.39,"Who is the speaker referring to as ""you"" in the text?","The speaker is referring to someone who is the entire world to them, but it is not specified who ""you"" is.",LibriSpeech/test-clean/121/123859/121-123859-0000.wav,
o tis the first tis flattery in my seeing and my great mind most kingly drinks it up mine eye well knows what with his gust is greeing and to his palate doth prepare the cup if it be poison'd tis the lesser sin that mine eye loves it and doth first begin,25.395,What is the speaker's attitude towards flattery?,"The speaker is highly receptive to flattery, considering it a delightful and irresistible temptation for their great mind and eyes.",LibriSpeech/test-clean/121/123859/121-123859-0001.wav,
but reckoning time whose million'd accidents creep in twixt vows and change decrees of kings tan sacred beauty blunt the sharp'st intents divert strong minds to the course of altering things alas why fearing of time's tyranny might i not then say now i love you best when i was certain o'er incertainty crowning the present doubting of the rest,30.04,When did the speaker feel the strongest love for someone?,"When the speaker was certain and crowned the present, doubting the uncertainty of the rest.",LibriSpeech/test-clean/121/123859/121-123859-0002.wav,
love is a babe then might i not say so to give full growth to that which still doth grow,10.825,How would you describe the nature of love based on the provided English text?,Love is described as a tender and youthful entity that has the potential to blossom and mature further.,LibriSpeech/test-clean/121/123859/121-123859-0003.wav,
so i return rebuk'd to my content and gain by ill thrice more than i have spent,9.505,How does the speaker feel about their current situation?,"The speaker feels content and satisfied despite facing criticism, as they have gained three times more than what they initially spent through dishonest means.",LibriSpeech/test-clean/121/123859/121-123859-0004.wav,
those pretty wrongs that liberty commits when i am sometime absent from thy heart thy beauty and thy years full well befits for still temptation follows where thou art,17.695,What follows the person described in the text?,Temptation,LibriSpeech/test-clean/121/123852/121-123852-0000.wav,
ay me,1.87,"What is the meaning of the phrase ""ay me"" in this English text?","The phrase ""ay me"" expresses a sense of distress or sadness.",LibriSpeech/test-clean/121/123852/121-123852-0001.wav,
no matter then although my foot did stand upon the farthest earth remov'd from thee for nimble thought can jump both sea and land as soon as think the place where he would be but ah,17.285,Can nimble thoughts transcend physical distance?,"Yes, nimble thoughts have the ability to surpass both sea and land, allowing one's mind to instantly travel to the desired location.",LibriSpeech/test-clean/121/123852/121-123852-0002.wav,
thought kills me that i am not thought to leap large lengths of miles when thou art gone but that so much of earth and water wrought i must attend time's leisure with my moan receiving nought by elements so slow but heavy tears badges of either's woe,23.505,What does the speaker find distressing about the fact that they are unable to leap large distances while their loved one is away?,"The speaker is upset that they cannot physically travel long distances when their loved one is gone, and instead must rely on time's slow passage and their own sorrow, which feels burdensome and unproductive to them.",LibriSpeech/test-clean/121/123852/121-123852-0003.wav,
my heart doth plead that thou in him dost lie a closet never pierc'd with crystal eyes but the defendant doth that plea deny and says in him thy fair appearance lies,16.29,Who or what is denying the plea that the speaker's heart is making?,The defendant is denying the plea.,LibriSpeech/test-clean/121/123852/121-123852-0004.wav,
it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention,9.875,What did Douglas reply to the observation?,"Douglas replied to the observation later in the evening with a response that had an interesting consequence, which is worth noting.",LibriSpeech/test-clean/121/127105/121-127105-0000.wav,
someone else told a story not particularly effective which i saw he was not following,5.025,How did the person listening to the story perceive its effectiveness?,"The person listening to the story deemed it to be not particularly effective, as they observed that someone else was not able to follow it.",LibriSpeech/test-clean/121/127105/121-127105-0001.wav,
cried one of the women he took no notice of her he looked at me but as if instead of me he saw what he spoke of,7.495,How did the man react when one of the women cried out to him?,He took no notice of her.,LibriSpeech/test-clean/121/127105/121-127105-0002.wav,
there was a unanimous groan at this and much reproach after which in his preoccupied way he explained,7.725,How did the people react to the explanation given by the person mentioned in the text?,What was the reaction to his explanation?,LibriSpeech/test-clean/121/127105/121-127105-0003.wav,
the story's written,2.11,Who wrote the story?,The story's written by an unknown author.,LibriSpeech/test-clean/121/127105/121-127105-0004.wav,
i could write to my man and enclose the key he could send down the packet as he finds it,5.82,What could the person potentially do with the key enclosed in their letter to their man?,They could potentially use the key to unlock a packet or something similar.,LibriSpeech/test-clean/121/127105/121-127105-0005.wav,
the others resented postponement but it was just his scruples that charmed me,4.725,What specifically about him charmed the speaker in the given context?,His scruples charmed the speaker.,LibriSpeech/test-clean/121/127105/121-127105-0006.wav,
to this his answer was prompt oh thank god no and is the record yours,5.79,What was the person's response to a certain inquiry?,"Promptly, he expressed relief, saying ""Oh thank god no."" Additionally, he questioned, ""Is the record yours?""",LibriSpeech/test-clean/121/127105/121-127105-0007.wav,
he hung fire again a woman's,2.76,What did he do with regards to a woman?,He hung fire again.,LibriSpeech/test-clean/121/127105/121-127105-0008.wav,
she has been dead these twenty years,2.29,How long has she been deceased?,She has been dead these twenty years.,LibriSpeech/test-clean/121/127105/121-127105-0009.wav,
she sent me the pages in question before she died,2.85,What did she do before she died?,She sent me the pages in question.,LibriSpeech/test-clean/121/127105/121-127105-0010.wav,
she was the most agreeable woman i've ever known in her position she would have been worthy of any whatever,5.78,How would you describe the woman in the given text?,"She was the most agreeable woman I've ever known; in her position, she would have been worthy of any whatever.",LibriSpeech/test-clean/121/127105/121-127105-0011.wav,
it wasn't simply that she said so but that i knew she hadn't i was sure i could see,4.83,What was the significance of the speaker's knowledge about the person's statement?,"The significance of the speaker's knowledge is that they were certain that the person did not say what was claimed, and the speaker had a strong conviction in their ability to perceive the truth.",LibriSpeech/test-clean/121/127105/121-127105-0012.wav,
you'll easily judge why when you hear because the thing had been such a scare he continued to fix me,5.895,Why did the speaker continue to fix the listener?,The speaker continued to fix the listener because the thing had been such a scare.,LibriSpeech/test-clean/121/127105/121-127105-0013.wav,
you are acute,2.255,What type of angle are you described as in this context?,Acute,LibriSpeech/test-clean/121/127105/121-127105-0014.wav,
he quitted the fire and dropped back into his chair,2.96,What did he do after leaving the fire?,He dropped back into his chair.,LibriSpeech/test-clean/121/127105/121-127105-0015.wav,
probably not till the second post,2.03,When can we expect a response?,Probably not till the second post.,LibriSpeech/test-clean/121/127105/121-127105-0016.wav,
it was almost the tone of hope everybody will stay,2.6950000000000003,How did the atmosphere feel at that moment?,What was the feeling that everyone was expected to maintain?,LibriSpeech/test-clean/121/127105/121-127105-0017.wav,
cried the ladies whose departure had been fixed,2.77,Why were the ladies crying?,The ladies were crying because their departure had been fixed.,LibriSpeech/test-clean/121/127105/121-127105-0018.wav,
missus griffin however expressed the need for a little more light,3.525,What did Missus Griffin express a need for?,Missus Griffin expressed the need for a little more light.,LibriSpeech/test-clean/121/127105/121-127105-0019.wav,
who was it she was in love with the story will tell i took upon myself to reply oh i can't wait for the story the story won't tell said douglas not in any literal vulgar way more's the pity then,14.355,"Who was Douglas referring to when he mentioned ""the story""?","The text does not provide any direct information about who Douglas was referring to when he mentioned ""the story.""",LibriSpeech/test-clean/121/127105/121-127105-0020.wav,
won't you tell douglas,2.0,Who is being asked to tell Douglas something?,You.,LibriSpeech/test-clean/121/127105/121-127105-0021.wav,
well if i don't know who she was in love with i know who he was,5.075,Who does the speaker know about being in love with someone?,"The speaker knows about 'he' being in love with someone, but is unsure about the person 'she' was in love with.",LibriSpeech/test-clean/121/127105/121-127105-0022.wav,
let me say here distinctly to have done with it that this narrative from an exact transcript of my own made much later is what i shall presently give,10.91,What will the speaker provide in the future?,The speaker will provide a narrative based on their own exact transcript made much later.,LibriSpeech/test-clean/121/127105/121-127105-0023.wav,
poor douglas before his death when it was in sight committed to me the manuscript that reached him on the third of these days and that on the same spot with immense effect he began to read to our hushed little circle on the night of the fourth,14.45,What did poor Douglas do before his death?,"Poor Douglas committed a manuscript to me, which he received on the third day before his death.",LibriSpeech/test-clean/121/127105/121-127105-0024.wav,
the departing ladies who had said they would stay didn't of course thank heaven stay they departed in consequence of arrangements made in a rage of curiosity as they professed produced by the touches with which he had already worked us up,16.065,"Why did the departing ladies not stay, even though they had initially said they would?","They departed because of arrangements made in a rage of curiosity, which they claimed were produced by the touches with which he had already worked them up.",LibriSpeech/test-clean/121/127105/121-127105-0025.wav,
the first of these touches conveyed that the written statement took up the tale at a point after it had in a manner begun,7.53,What can be inferred about the written statement mentioned in the text?,The written statement continues the story from a certain point after it had already started.,LibriSpeech/test-clean/121/127105/121-127105-0026.wav,
he had for his own town residence a big house filled with the spoils of travel and the trophies of the chase but it was to his country home an old family place in essex that he wished her immediately to proceed,13.87,Where did the person want her to go immediately?,"The person wanted her to immediately proceed to their country home, an old family place in Essex.",LibriSpeech/test-clean/121/127105/121-127105-0027.wav,
the awkward thing was that they had practically no other relations and that his own affairs took up all his time,6.75,What caused the awkward situation for the person mentioned in the text?,The person's lack of other relations and the fact that their own affairs consumed all their time led to an awkward situation.,LibriSpeech/test-clean/121/127105/121-127105-0028.wav,
there were plenty of people to help but of course the young lady who should go down as governess would be in supreme authority,7.31,Who was expected to have the highest level of authority among the available individuals?,The young lady who should go down as governess.,LibriSpeech/test-clean/121/127105/121-127105-0029.wav,
i don't anticipate,2.175,What is the speaker's expectation or prediction about something?,The speaker does not anticipate anything.,LibriSpeech/test-clean/121/127105/121-127105-0030.wav,
she was young untried nervous it was a vision of serious duties and little company of really great loneliness,10.765,How would you describe the woman's emotional state and surroundings?,What words can be used to depict the woman's state of mind and environment?,LibriSpeech/test-clean/121/127105/121-127105-0031.wav,
yes but that's just the beauty of her passion,3.17,What is the beauty associated with her passion?,"Yes, but that's just the beauty of her passion.",LibriSpeech/test-clean/121/127105/121-127105-0032.wav,
it was the beauty of it,2.355,What aspect of the object or scene was noteworthy?,What made it remarkable was its beauty.,LibriSpeech/test-clean/121/127105/121-127105-0033.wav,
it sounded dull it sounded strange and all the more so because of his main condition which was,7.41,How did the protagonist feel about the sound he was hearing?,"The protagonist found the sound to be dull and strange, and this perception was intensified by his main condition, whatever it may be.",LibriSpeech/test-clean/121/127105/121-127105-0034.wav,
she promised to do this and she mentioned to me that when for a moment disburdened delighted he held her hand thanking her for the sacrifice she already felt rewarded,14.15,How did the person feel after making a promise and mentioning something to someone?,"After making a promise and mentioning something, the person already felt rewarded when the other individual, feeling momentarily relieved and happy, held her hand and expressed gratitude.",LibriSpeech/test-clean/121/127105/121-127105-0035.wav,
but was that all her reward one of the ladies asked,4.15,What did one of the ladies ask about her reward?,"""But was that all her reward?""",LibriSpeech/test-clean/121/127105/121-127105-0036.wav,
he could wait no longer,2.085,What was the individual's state of patience?,The individual's state of patience was exhausted as he could wait no longer.,LibriSpeech/test-clean/1089/134691/1089-134691-0000.wav,
for a full hour he had paced up and down waiting but he could wait no longer,5.415,How long did he wait for?,He waited for a full hour.,LibriSpeech/test-clean/1089/134691/1089-134691-0001.wav,
he set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve at the police barrack and was safe,11.6,Why did he set off abruptly for the bull?,He set off abruptly for the bull to avoid being called back by his father's shrill whistle.,LibriSpeech/test-clean/1089/134691/1089-134691-0002.wav,
the university,2.175,What is the topic of the text?,The text is about the university.,LibriSpeech/test-clean/1089/134691/1089-134691-0003.wav,
